% Part IA Scientific Computing
% Example data file
% Columns are [x, y1, y2]
0,2,1
0.25,1.8101,0.97531
0.5,1.4401,0.95123
0.75,0.98863,0.92774
1,0.56413,0.90484
1.25,0.25857,0.8825
1.5,0.1273,0.86071
1.75,0.17955,0.83946
2,0.38058,0.81873
2.25,0.66411,0.79852
2.5,0.95085,0.7788
2.75,1.1684,0.75957
3,1.2678,0.74082
3.25,1.2324,0.72253
3.5,1.0791,0.70469
3.75,0.85103,0.68729
4,0.60494,0.67032
4.25,0.39646,0.65377
4.5,0.26719,0.63763
4.75,0.23624,0.62189
5,0.29785,0.60653
5.25,0.42515,0.59156
5.5,0.57842,0.57695
5.75,0.71574,0.5627
6,0.80298,0.54881
6.25,0.82114,0.53526
6.5,0.76935,0.52205
6.75,0.66338,0.50916
7,0.5303,0.49659
7.25,0.40107,0.48432
7.5,0.30286,0.47237
7.75,0.25303,0.4607
8,0.25598,0.44933
8.25,0.30334,0.43823
8.5,0.37715,0.42741
8.75,0.45499,0.41686
9,0.51572,0.40657
9.25,0.54426,0.39653
9.5,0.53462,0.38674
9.75,0.49042,0.37719
10,0.42311,0.36788
10.25,0.34855,0.3588
10.5,0.28286,0.34994
10.75,0.23858,0.3413
11,0.22207,0.33287
11.25,0.23261,0.32465
11.5,0.26322,0.31664
11.75,0.30292,0.30882
12,0.33967,0.30119
12.25,0.36335,0.29376
12.5,0.36787,0.2865
12.75,0.35231,0.27943
13,0.32058,0.27253
13.25,0.28008,0.2658
13.5,0.23961,0.25924
13.75,0.20714,0.25284
14,0.18806,0.2466
14.25,0.18413,0.24051
14.5,0.19341,0.23457
14.75,0.21107,0.22878
15,0.23081,0.22313
15.25,0.24647,0.21762
15.5,0.25346,0.21225
15.75,0.24971,0.20701
16,0.2359,0.2019
16.25,0.21505,0.19691
16.5,0.19156,0.19205
16.75,0.17008,0.18731
17,0.15436,0.18268
17.25,0.14648,0.17817
17.5,0.14648,0.17377
17.75,0.1526,0.16948
18,0.1618,0.1653
18.25,0.17066,0.16122
18.5,0.17616,0.15724
